DS_DATA_CURTA,HR_HORA,HORA,MINUTOS,PERÍODO,DS_RODOVIA,DS_MUNICIPIO_OCORRENCIA,SG_UF_LOCAL_OCORRENCIA,REGIÃO_OCORRENCIA,DS_TIPO_ENQTO,DS_COMPLEMENTO,CARGA_PADRÃO,QTDE OCORRÊNCIAS,,,
20/01/24,2,0.083333333,120,Noite,376,ORTIGUEIRA,PR,Sul,Roubo,De Carga de Alimentos,Alimentos,1,,,
20/01/24,9,0.375,540,Manhã,116,BARRA DO TURVO,SP,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
20/01/24,20,0.833333333,1200,Noite,116,APARECIDA,SP,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
21/01/24,19,0.791666667,1140,Noite,101,ESPLANADA,BA,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
21/01/24,18,0.75,1080,Noite,101,ALAGOINHAS,BA,Nordeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
21/01/24,1,0.041666667,60,Noite,251,SANTA CRUZ DE SALINAS,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
21/01/24,20,0.833333333,1200,Noite,381,SABARA,MG,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
22/01/24,1,0.041666667,60,Noite,381,NOVA ERA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
22/01/24,3,0.125,180,Noite,381,ANTONIO DIAS,MG,Sudeste,Furto,De Carga de Eletrodomésticos,Eletrodomésticos,1,,,
22/01/24,8,0.333333333,480,Manhã,251,SALINAS,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
22/01/24,18,0.75,1080,Noite,365,UBERLANDIA,MG,Sudeste,Roubo,de Carga de Bebidas,Bebidas,1,,,
22/01/24,7,0.291666667,420,Manhã,163,ELDORADO,MS,Centro-Oeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
22/01/24,20,0.833333333,1200,Noite,381,MAIRIPORA,SP,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
23/01/24,19,0.791666667,1140,Noite,381,CAMANDUCAIA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
23/01/24,4,0.166666667,240,Noite,251,MONTES CLAROS,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
23/01/24,2,0.083333333,120,Noite,262,JUATUBA,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
23/01/24,14,0.583333333,840,Tarde,381,SABARA,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
23/01/24,21,0.875,1260,Noite,381,CAREACU,MG,Sudeste,Roubo,De Carga de Medicamentos,Medicamentos,1,,,
24/01/24,2,0.083333333,120,Noite,040,CAPIM BRANCO,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
24/01/24,6,0.25,360,Manhã,381,BRUMADINHO,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
24/01/24,19,0.791666667,1140,Noite,Não Informado,PEDRA,PE,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
24/01/24,23,0.958333333,1380,Noite,116,LAVRINHAS,SP,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
25/01/24,8,0.333333333,480,Manhã,116,PONTO DOS VOLANTES,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
25/01/24,3,0.125,180,Noite,365,MONTE ALEGRE DE MINAS,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
25/01/24,20,0.833333333,1200,Noite,369,UBIRATA,PR,Sul,Furto,Saque de Carga,Saque de Carga,1,,,
25/01/24,23,0.958333333,1380,Noite,116,CAMPINA GRANDE DO SUL,PR,Sul,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
25/01/24,22,0.916666667,1320,Noite,116,SAO JOSE DOS PINHAIS,PR,Sul,Roubo,De Carga de Alimentos,Alimentos,1,,,
26/01/24,2,0.083333333,120,Noite,153,CANAPOLIS,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
26/01/24,4,0.166666667,240,Noite,381,CARMO DA CACHOEIRA,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
26/01/24,4,0.166666667,240,Noite,381,CAETE,MG,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
26/01/24,2,0.083333333,120,Noite,040,CONGONHAS,MG,Sudeste,Roubo,De Carga de Cigarros,Cigarros,1,,,
26/01/24,15,0.625,900,Tarde,393,TRES RIOS,RJ,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
27/01/24,1,0.041666667,60,Noite,040,CAPIM BRANCO,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
27/01/24,4,0.166666667,240,Noite,381,JOAO MONLEVADE,MG,Sudeste,Roubo,de Carga de Bebidas,Bebidas,1,,,
27/01/24,16,0.666666667,960,Tarde,070,PRIMAVERA DO LESTE,MT,Centro-Oeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
27/01/24,1,0.041666667,60,Noite,369,MAMBORE,PR,Sul,Roubo,De Carga de Eletroeletrônicos,Eletroeletrônicos,1,,,
27/01/24,11,0.458333333,660,Manhã,364,ARIQUEMES,RO,Norte,Furto,de Carga de Gado/Outros Animais,Gado/Outros Animais,1,,,
28/01/24,22,0.916666667,1320,Noite,153,ITUIUTABA,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
28/01/24,16,0.666666667,960,Tarde,381,BELA VISTA DE MINAS,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
28/01/24,4,0.166666667,240,Noite,153,CANAPOLIS,MG,Sudeste,Furto,De Carga dos Correios,Correios,1,,,
29/01/24,6,0.25,360,Manhã,262,SAO DOMINGOS DO PRATA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
29/01/24,3,0.125,180,Noite,381,ESTIVA,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
29/01/24,16,0.666666667,960,Tarde,251,GRAO MOGOL,MG,Sudeste,Furto,de Carga de Gado/Outros Animais,Gado/Outros Animais,1,,,
29/01/24,12,0.5,720,Tarde,116,CAJATI,SP,Sudeste,Furto,De Carga de Eletroeletrônicos,Eletroeletrônicos,1,,,
30/01/24,5,0.208333333,300,Noite,153,CANAPOLIS,MG,Sudeste,Furto,de Carga de Agrotóxicos,Agrotóxicos,1,,,
30/01/24,18,0.75,1080,Noite,010,PARAGOMINAS,PA,Norte,Roubo,De Carga de Valores,Valores,1,,,
30/01/24,14,0.583333333,840,Tarde,493,NOVA IGUACU,RJ,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
30/01/24,8,0.333333333,480,Manhã,116,NOVA IGUACU,RJ,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
30/01/24,2,0.083333333,120,Noite,101,BARRA VELHA,SC,Sul,Roubo,De Carga de Alimentos,Alimentos,1,,,
30/01/24,20,0.833333333,1200,Noite,101,CAPELA,SE,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
30/01/24,1,0.041666667,60,Noite,116,MIRACATU,SP,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
31/01/24,8,0.333333333,480,Manhã,364,SAO SIMAO,GO,Centro-Oeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
31/01/24,2,0.083333333,120,Noite,381,JAGUARACU,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
31/01/24,0,0,0,Noite,040,ITABIRITO,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
31/01/24,0,0,0,Noite,381,BELA VISTA DE MINAS,MG,Sudeste,Furto,De Carga de Eletrodomésticos,Eletrodomésticos,1,,,
31/01/24,4,0.166666667,240,Noite,040,CONTAGEM,MG,Sudeste,Furto,De Carga de Eletrodomésticos,Eletrodomésticos,1,,,
31/01/24,18,0.75,1080,Noite,153,PRATA,MG,Sudeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
31/01/24,21,0.875,1260,Noite,493,NOVA IGUACU,RJ,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
01/02/24,4,0.166666667,240,Noite,153,PIRENOPOLIS,GO,Centro-Oeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
01/02/24,4,0.166666667,240,Noite,040,CONTAGEM,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
01/02/24,6,0.25,360,Manhã,040,RIBEIRAO DAS NEVES,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
01/02/24,1,0.041666667,60,Noite,381,BRUMADINHO,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
01/02/24,6,0.25,360,Manhã,381,SAO GONCALO DO RIO ABAIXO,MG,Sudeste,Roubo,De Carga de Eletrodomésticos,Eletrodomésticos,1,,,
01/02/24,22,0.916666667,1320,Noite,010,PARAGOMINAS,PA,Norte,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
01/02/24,16,0.666666667,960,Tarde,493,DUQUE DE CAXIAS,RJ,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
02/02/24,14,0.583333333,840,Tarde,381,LAVRAS,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
02/02/24,22,0.916666667,1320,Noite,040,RIBEIRAO DAS NEVES,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
02/02/24,18,0.75,1080,Noite,493,DUQUE DE CAXIAS,RJ,Sudeste,Roubo,Saque de Carga,Saque de Carga,1,,,
03/02/24,13,0.541666667,780,Tarde,381,CARMO DA CACHOEIRA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
03/02/24,7,0.291666667,420,Manhã,381,CARMO DA CACHOEIRA,MG,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
03/02/24,14,0.583333333,840,Tarde,Não Informado,RIO DE JANEIRO,RJ,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
03/02/24,16,0.666666667,960,Tarde,116,MIRACATU,SP,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
04/02/24,2,0.083333333,120,Noite,101,IBIRAPITANGA,BA,Nordeste,Furto,de Carga de Bebidas,Bebidas,1,,,
04/02/24,10,0.416666667,600,Manhã,146,ARAXA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
04/02/24,21,0.875,1260,Noite,381,CAMPANHA,MG,Sudeste,Roubo,de Carga de Bebidas,Bebidas,1,,,
04/02/24,21,0.875,1260,Noite,116,SALGUEIRO,PE,Nordeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
04/02/24,4,0.166666667,240,Noite,Não Informado,PARAISO DO TOCANTINS,TO,Norte,Roubo,De Carga de Eletrodomésticos,Eletrodomésticos,1,,,
05/02/24,3,0.125,180,Noite,381,ITATIAIUCU,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
05/02/24,3,0.125,180,Noite,365,MONTE ALEGRE DE MINAS,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),2,,,
05/02/24,22,0.916666667,1320,Noite,070,POCONE,MT,Centro-Oeste,Furto,De Carga de Alimentos,Alimentos,1,,,
05/02/24,12,0.5,720,Tarde,232,SALGUEIRO,PE,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
05/02/24,15,0.625,900,Tarde,277,NOVA LARANJEIRAS,PR,Sul,Furto,De Carga de Alimentos,Alimentos,1,,,
06/02/24,2,0.083333333,120,Noite,116,POCOES,BA,Nordeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
